Numero de jugada;BH1;BH2;BH3;BH4;BH5;BH6;BH7;BH8;BH9;BH10;BH11;BH12;BH13;BH14;BH15;BH16
1;inf;1;inf;1;1;1;inf;inf;inf;1;inf;inf;inf;1;inf;1
2;inf;inf;inf;inf;inf;inf;inf;1;inf;inf;inf;inf;inf;inf;1;1
3;1;inf;inf;inf;inf;inf;inf;inf;1;1;inf;inf;inf;10;inf;inf
4;inf;inf;inf;inf;inf;inf;inf;inf;inf;8;inf;inf;5;8;1;inf
5;inf;1;inf;inf;inf;inf;1;1;inf;6;inf;inf;3;6;inf;inf
6;inf;inf;inf;inf;inf;inf;inf;inf;inf;4;inf;inf;1;1;4;inf
7;inf;inf;inf;inf;inf;inf;inf;inf;inf;1;inf;inf;inf;3;1;5
8;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;1;1;1
9;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;2;2
10;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;5
11;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;4;inf;1;3
12;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;8;inf;inf;1
13;inf;inf;inf;inf;inf;inf;inf;inf;1;1;inf;inf;1;inf;inf;8
14;inf;inf;inf;inf;inf;inf;1;1;inf;inf;inf;inf;inf;inf;1;6
15;inf;inf;inf;inf;inf;inf;3;inf;inf;1;inf;inf;1;inf;inf;2
16;inf;inf;inf;inf;inf;inf;1;inf;1;inf;inf;inf;1;inf;1;2
17;inf;inf;inf;inf;inf;inf;1;inf;inf;1;inf;inf;1;inf;inf;2
18;inf;inf;inf;inf;inf;inf;7;inf;inf;1;1;inf;1;inf;inf;inf
19;inf;inf;inf;inf;inf;1;9;inf;inf;1;inf;inf;inf;inf;inf;4
20;inf;inf;2;inf;inf;inf;1;inf;inf;1;inf;inf;inf;inf;inf;2
21;inf;inf;inf;inf;inf;inf;3;inf;inf;inf;inf;inf;inf;2;inf;inf
22;inf;inf;inf;inf;inf;inf;1;inf;inf;1;inf;inf;inf;2;inf;inf
23;inf;inf;inf;inf;inf;inf;6;inf;inf;1;inf;inf;inf;inf;inf;inf
24;inf;inf;1;inf;inf;inf;1;1;inf;inf;inf;inf;inf;inf;inf;inf
25;inf;inf;3;1;inf;inf;inf;inf;inf;inf;15;inf;inf;inf;1;inf
26;inf;inf;5;3;inf;inf;inf;inf;3;inf;13;4;inf;inf;inf;inf
27;inf;inf;8;5;inf;2;inf;inf;1;4;11;2;inf;inf;1;inf
28;inf;inf;inf;7;inf;4;inf;inf;inf;1;9;5;inf;inf;1;inf
29;inf;inf;2;9;inf;6;1;1;inf;1;1;3;inf;inf;inf;inf
30;inf;inf;4;11;inf;2;3;inf;inf;inf;6;1;inf;inf;1;inf
31;inf;inf;6;13;inf;4;inf;2;1;inf;4;inf;inf;inf;1;inf
32;inf;inf;8;1;inf;inf;inf;1;inf;inf;2;inf;inf;inf;1;inf
33;inf;inf;inf;1;inf;inf;19;1;inf;inf;inf;inf;inf;16;inf;inf
34;inf;inf;inf;4;inf;inf;10;inf;inf;inf;inf;inf;inf;14;inf;inf
35;inf;inf;inf;6;inf;inf;1;inf;inf;1;inf;inf;inf;11;1;inf
36;inf;inf;inf;8;inf;inf;14;1;inf;inf;inf;inf;inf;1;1;inf
37;inf;inf;inf;inf;inf;inf;1;3;49;inf;inf;inf;inf;1;1;inf
38;1;inf;inf;inf;inf;inf;18;5;24;inf;inf;1;inf;20;10;inf
39;inf;inf;inf;inf;inf;inf;30;12;2;inf;inf;inf;inf;6;7;2
40;inf;1;inf;inf;inf;inf;32;1;7;inf;inf;inf;inf;4;5;inf
